[DEBUG] 2019-10-06 16:54:06.248 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-06 16:54:06.272 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-06 16:54:06.286 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-06 16:54:06.565 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-06 16:54:06.571 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-06 16:54:07.127 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-06 16:54:07.130 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-06 16:54:07.137 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-06 16:54:07.667 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-06 16:54:07.704 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-06 16:54:07.706 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-06 16:54:07.739 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-06 16:54:07.784 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11a8042c
[DEBUG] 2019-10-06 16:54:07.785 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11a8042c
[DEBUG] 2019-10-06 16:54:07.785 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@11a8042c
[DEBUG] 2019-10-06 16:54:07.786 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@64b3b1ce
[DEBUG] 2019-10-06 16:54:07.787 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5f7da3d3
[DEBUG] 2019-10-06 16:54:07.788 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@64fe9da7
[DEBUG] 2019-10-06 16:54:07.789 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1a0b5323
[DEBUG] 2019-10-06 16:54:07.790 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1a0b5323
[DEBUG] 2019-10-06 16:54:07.790 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1a0b5323
[DEBUG] 2019-10-06 16:54:07.791 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@41fe8e5f
[DEBUG] 2019-10-06 16:54:07.791 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@41fe8e5f
[DEBUG] 2019-10-06 16:54:07.791 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@41fe8e5f
[DEBUG] 2019-10-06 16:54:07.793 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@51a6cc2a
[DEBUG] 2019-10-06 16:54:07.793 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@51a6cc2a
[DEBUG] 2019-10-06 16:54:07.793 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@51a6cc2a
[DEBUG] 2019-10-06 16:54:07.794 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@78c1372d
[DEBUG] 2019-10-06 16:54:07.794 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@78c1372d
[DEBUG] 2019-10-06 16:54:07.794 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@78c1372d
[DEBUG] 2019-10-06 16:54:07.796 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@22a0d4ea
[DEBUG] 2019-10-06 16:54:07.796 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@22a0d4ea
[DEBUG] 2019-10-06 16:54:07.797 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@22a0d4ea
[DEBUG] 2019-10-06 16:54:07.798 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2412a42b
[DEBUG] 2019-10-06 16:54:07.798 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2412a42b
[DEBUG] 2019-10-06 16:54:07.798 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2412a42b
[DEBUG] 2019-10-06 16:54:07.799 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@51841ac6
[DEBUG] 2019-10-06 16:54:07.799 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@51841ac6
[DEBUG] 2019-10-06 16:54:07.799 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@51841ac6
[DEBUG] 2019-10-06 16:54:07.800 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@10afe71a
[DEBUG] 2019-10-06 16:54:07.801 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@10afe71a
[DEBUG] 2019-10-06 16:54:07.801 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4715ae33
[DEBUG] 2019-10-06 16:54:07.802 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4715ae33
[DEBUG] 2019-10-06 16:54:07.805 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2a2ef072
[DEBUG] 2019-10-06 16:54:07.805 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2a2ef072
[DEBUG] 2019-10-06 16:54:07.806 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1f77b5cc
[DEBUG] 2019-10-06 16:54:07.807 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2e179f3e
[DEBUG] 2019-10-06 16:54:07.808 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@67b100fe
[DEBUG] 2019-10-06 16:54:07.808 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@67b100fe
[DEBUG] 2019-10-06 16:54:07.809 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@44b194fe
[DEBUG] 2019-10-06 16:54:07.809 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@44b194fe
[DEBUG] 2019-10-06 16:54:07.823 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@49c675f0
